spanish,english,POS,lemma,lemma_valid
vuelta,"return, turn",NOUN,vuelta,True
alma,soul,NOUN,alma,True
arma,weapon,NOUN,arma,True
acto,"act, action",NOUN,acto,True
alumno,"student, pupil",NOUN,alumno,True
ambiente,"environment, atmosphere",NOUN,ambiente,True
andar,to walk&nbsp;[also caminar],VERB,andar,True
apoyo,"support, backing",NOUN,apoyo,True
árbol,tree,NOUN,árbol,True
arte,"art, skill",NOUN,arte,True
artículo,"article, product, item",NOUN,artículo,True
asunto,"matter, issue, affair",NOUN,asunto,True
banco,"financial bank, bench",NOUN,banco,True
bien,"goods, property, benefit (nm)",NOUN,ChatGPT doesn't think this is a valid POS tag,False
brazo,arm,NOUN,brazo,True
caballo,horse,NOUN,caballo,True
calor,"heat, warmth",NOUN,calor,True
carácter,"personality, nature",NOUN,carácter,True
cargo,"position, charge, fee",NOUN,cargo,True
cielo,"sky, heaven, ceiling",NOUN,cielo,True
compañero,"companion, classmate",NOUN,compañero,True
concepto,concept,NOUN,concepto,True
conjunto,"group, set",NOUN,conjunto,True
contacto,contact,NOUN,contacto,True
control,control,NOUN,control,True
corazón,"heart, core",NOUN,corazón,True
cuadro,"painting, picture",NOUN,cuadro,True
cuarto,fourth (adj),ADJ,cuarto,True
cuidado,"care, carefulness",NOUN,cuidado,True
curso,"course, direction",NOUN,curso,True
dato,"data, fact",NOUN,dato,True
derecho,"right, straight (adj)",ADJ,derecho,True
desarrollo,development,NOUN,desarrollo,True
deseo,"desire, wish",NOUN,deseo,True
destino,"destination, destiny",NOUN,destino,True
detalle,detail,NOUN,detalle,True
diario,daily (adj) [also cotidiano],ADJ,diario,True
dolor,"pain, ache, sorrow",NOUN,dolor,True
edificio,building,NOUN,edificio,True
elemento,element,NOUN,elemento,True
encuentro,"meeting, game, skirmish",NOUN,encuentro,True
equipo,"team, equipment, outfit",NOUN,equipo,True
error,"error, mistake",NOUN,error,True
espíritu,"spirit, ghost",NOUN,espíritu,True
estilo,style,NOUN,estilo,True
éxito,success,NOUN,éxito,True
fenómeno,phenomenon,NOUN,fenómeno,True
golpe,"hit, strike, punch",NOUN,golpe,True
grado,"degree, grade",NOUN,grado,True
gusto,"pleasure, taste, preference",NOUN,gusto,True
hermano,"brother, [pl] siblings",NOUN,hermano,True
hogar,"home, hearth",NOUN,hogar,True
instrumento,instrument,NOUN,instrumento,True
juicio,judgment,NOUN,juicio,True
lenguaje,"language, speech",NOUN,lenguaje,True
límite,limit,NOUN,límite,True
mercado,market,NOUN,mercado,True
metro,"meter (unit of measure), subway",NOUN,metro,True
miembro,"member, limb",NOUN,miembro,True
motivo,"motive, cause, motif",NOUN,motivo,True
negocio,"business, transaction",NOUN,negocio,True
norte,north,NOUN,norte,True
origen,"origin, cause",NOUN,origen,True
oro,gold,NOUN,oro,True
pasado,past (nm),NOUN,pasado,True
peligro,"danger, menace",NOUN,peligro,True
pensamiento,"thought, thinking",NOUN,pensamiento,True
periódico,"newspaper, periodical",NOUN,periódico,True
perro,dog,NOUN,perro,True
personaje,character (e.g. movie),NOUN,personaje,True
piso,"floor, story",NOUN,piso,True
plan,plan,NOUN,plan,True
precio,"price, cost, value",NOUN,precio,True
presidente,president,NOUN,presidente,True
producto,product,NOUN,producto,True
propósito,"intention, purpose",NOUN,propósito,True
proyecto,"project, plan",NOUN,proyecto,True
público,"public, audience (nm)",NOUN,público,True
puesto,"job, place, position",NOUN,puesto,True
recuerdo,"memory, keepsake",NOUN,recuerdo,True
recurso,"resource, recourse, means",NOUN,recurso,True
respeto,"respect, regard",NOUN,respeto,True
río,river,NOUN,río,True
ritmo,rhythm,NOUN,ritmo,True
segundo,second (nm),NOUN,No examples found,False
sentimiento,"feeling, sentiment",NOUN,sentimiento,True
silencio,silence,NOUN,silencio,True
sitio,"place, space",NOUN,sitio,True
sol,sun,NOUN,sol,True
sueño,"dream, sleep",NOUN,sueño,True
tamaño,"size, dimension",NOUN,tamaño,True
teatro,"theater, drama",NOUN,teatro,True
teléfono,"phone, telephone",NOUN,teléfono,True
término,"term (language), end",NOUN,término,True
terreno,"ground, earth, terrain",NOUN,terreno,True
texto,text,NOUN,texto,True
título,"title, heading",NOUN,título,True
tono,tone,NOUN,tono,True
uso,use,NOUN,uso,True
verano,summer,NOUN,verano,True
vino,wine,NOUN,vino,True
autor,"writer, author",NOUN,autor,True
director,"director, manager, principal",NOUN,director,True
doctor,doctor,NOUN,doctor,True
jefe,"leader, boss, manager",NOUN,jefe,True
profesor,"professor, teacher",NOUN,profesor,True
capital,"capital city (f), money (m)",NOUN,capital,True
final,final (adj),ADJ,final,True
mar,sea,NOUN,mar,True
par,"pair, couple (m)",NOUN,par,True
radio,"radio; set (m), communication (f)",NOUN,radio,True
cincuenta,fifty,NUM,cincuenta,True
cuarenta,forty,NUM,cuarenta,True
doce,twelve,NUM,doce,True
millón,"million, fortune",NUM,No examples found,False
nueve,nine,NUM,nueve,True
treinta,thirty,NUM,treinta,True
veinte,twenty,NUM,veinte,True
mediante,by means of,ADP,mediante,True
tras,"after, behind",ADP,tras,True
aquello,that over there (n),PRON,aquel,True
"ése, ésa",that one,PRON,Too many tokens,False
mío,mine (pron),PRON,mío,True
suyo,"his, hers, yours, theirs (formal)",PRON,suyo,True
tú [also vos],you (subj singular familiar),PRON,Too many tokens,False
abandonar,"to abandon, leave (a place)",VERB,abandonar,True
acompañar,to accompany,VERB,acompañar,True
acordar [also recordar],"to remember, remind",VERB,Too many tokens,False
actuar,to act,VERB,actuar,True
admitir,to admit,VERB,admitir,True
adquirir,"to acquire, get",VERB,adquirir,True
advertir,to warn,VERB,advertir,True
afectar,to affect,VERB,afectar,True
afirmar,"to assert, affirm",VERB,afirmar,True
anunciar,"to announce, advertise",VERB,anunciar,True
aplicar,to apply,VERB,aplicar,True
apoyar,"to support, lean on",VERB,apoyar,True
aprovechar,to take advantage of,VERB,aprovechar,True
asegurar,"to assure, secure, insure",VERB,asegurar,True
asistir,to attend,VERB,asistir,True
atender,"to serve, attend to",VERB,atender,True
atravesar,to cross [also cruzar],VERB,atravesar,True
aumentar,to increase [also incrementar],VERB,aumentar,True
avanzar,"to advance, progress",VERB,avanzar,True
bajar,"to come down, let down",VERB,bajar,True
bastar,to be sufficient,VERB,bastar,True
caber,to fit into,VERB,caber,True
caminar,to walk [also andar],VERB,caminar,True
cargar,"to load up, carry",VERB,cargar,True
coincidir,"to coincide, agree",VERB,coincidir,True
colocar,"to place, position",VERB,colocar,True
comentar,to comment on,VERB,comentar,True
compartir,to share,VERB,compartir,True
comprobar,"to verify, prove",VERB,comprobar,True
comunicar,to communicate,VERB,comunicar,True
conducir,"to lead, drive",VERB,conducir,True
conservar,"to conserve, preserve",VERB,conservar,True
consistir,to consist of,VERB,consistir,True
constituir,"to constitute, consist of",VERB,constituir,True
construir,"to construct, build",VERB,construir,True
contemplar,to contemplate,VERB,contemplar,True
contener,to contain,VERB,contener,True
contestar,"to answer, reply",VERB,contestar,True
convenir,"to be agreeable, be convenient",VERB,convenir,True
corresponder,to correspond with,VERB,corresponder,True
cortar,to cut,VERB,cortar,True
costar,"to cost, to be hard to do",VERB,costar,True
crecer,"to grow, increase",VERB,crecer,True
cruzar,to cross [also atravesar],VERB,cruzar,True
cubrir,to cover,VERB,cubrir,True
cuidar,to take care of,VERB,cuidar,True
defender,"to defend, protect",VERB,defender,True
definir,to define,VERB,definir,True
demostrar,"to show, demonstrate",VERB,demostrar,True
depender,to depend on,VERB,depender,True
desaparecer,"to disappear, vanish",VERB,desaparecer,True
desear,"to want, desire, wish for",VERB,desear,True
despertar,"to wake up, arouse",VERB,despertar,True
destacar,"to emphasize, stand out",VERB,destacar,True
discutir,"to argue, discuss",VERB,discutir,True
disponer,"to have means, dispose",VERB,disponer,True
distinguir,to distinguish,VERB,distinguir,True
dominar,"to dominate, master",VERB,dominar,True
dormir,to sleep,VERB,dormir,True
durar,to last,VERB,durar,True
emplear,to employ,VERB,emplear,True
enfrentar,"to confront, face",VERB,enfrentar,True
enseñar,"to teach, show",VERB,enseñar,True
entregar,to deliver,VERB,entregar,True
enviar,to send,VERB,enviar,True
escapar,to escape,VERB,escapar,True
establecer,to establish,VERB,establecer,True
exigir,to demand,VERB,exigir,True
exponer,"to expound, expose",VERB,exponer,True
expresar,to express,VERB,expresar,True
extender,"to extend, spread",VERB,extender,True
faltar,to be lacking,VERB,faltar,True
firmar,to sign,VERB,firmar,True
funcionar,"to work, function",VERB,funcionar,True
guardar,"to keep, save",VERB,guardar,True
identificar,to identify,VERB,identificar,True
impedir,"to prevent, hinder",VERB,impedir,True
imponer,"to impose, enforce",VERB,imponer,True
incluir,to include,VERB,incluir,True
informar,to inform,VERB,informar,True
iniciar,"to initiate, start",VERB,iniciar,True
insistir,to insist on,VERB,insistir,True
instalar,to install,VERB,instalar,True
interpretar,to interpret,VERB,interpretar,True
intervenir,to intervene,VERB,intervenir,True
introducir,"to introduce, bring in",VERB,introducir,True
invitar,to invite,VERB,invitar,True
lanzar,"to throw (violently), to hurl [also arrojar]",VERB,lanzar,True
llenar,to fill,VERB,llenar,True
mandar,"to send, order",VERB,mandar,True
manejar,"to drive, handle",VERB,manejar,True
marcar,"to mark, note, dial",VERB,marcar,True
matar,to kill,VERB,matar,True
medir,to measure,VERB,medir,True
mejorar,"to improve, get better",VERB,mejorar,True
mencionar,"to mention, cite",VERB,mencionar,True
merecer,"to deserve, be worthy of",VERB,merecer,True
meter,to put into,VERB,meter,True
montar,"to ride, mount, assemble",VERB,montar,True
negar,"to deny, refuse",VERB,negar,True
notar,to notice [also percibir],VERB,notar,True
obligar,"to obligate, force",VERB,obligar,True
organizar,to organize,VERB,organizar,True
participar,to participate,VERB,participar,True
permanecer,"to stay, remain",VERB,permanecer,True
pertenecer,to belong,VERB,pertenecer,True
pesar,to weigh (v),VERB,pesar,True
plantear,"to propose, present",VERB,plantear,True
preferir,to prefer,VERB,preferir,True
preocupar(se),to worry,VERB,Too many tokens,False
prestar,to lend,VERB,prestar,True
pretender,to attempt,VERB,pretender,True
probar,"to test, prove, try",VERB,probar,True
pronunciar,to pronounce,VERB,pronunciar,True
provocar,"to cause, provoke",VERB,provocar,True
publicar,to publish,VERB,publicar,True
quitar,"to remove, take away",VERB,quitar,True
recoger,to pick up,VERB,recoger,True
recorrer,"to travel, cover distance",VERB,recorrer,True
recuperar,"to recuperate, recover",VERB,recuperar,True
reducir,to reduce,VERB,reducir,True
regresar,to return to a place,VERB,regresar,True
representar,to represent,VERB,representar,True
resolver,"to resolve, settle, work out",VERB,resolver,True
respetar,to respect,VERB,respetar,True
retirar,"to take away, retire",VERB,retirar,True
reunir,"to put togerther, to get together [also juntar]",VERB,reunir,True
romper,to break,VERB,romper,True
salvar,"to save, rescue",VERB,salvar,True
sentar,"to sit down, seat",VERB,sentar,True
separar,to separate,VERB,separar,True
significar,to mean,VERB,significar,True
sostener,"to support, hold up",VERB,sostener,True
superar,"to overcome, surpass",VERB,superar,True
surgir,"to appear, spring forth",VERB,surgir,True
tardar,"to delay, take long",VERB,tardar,True
tender,"to tend to, lay out",VERB,tender,True
tirar,"to throw, pull",VERB,tirar,True
transformar,"to transform, change",VERB,transformar,True
unir,to unite,VERB,unir,True
vender,to sell,VERB,vender,True
viajar,to travel,VERB,viajar,True
visitar,to visit,VERB,visitar,True
activo,active,ADJ,activo,True
ajeno,"not belonging to, detached",ADJ,ajeno,True
americano,American,ADJ,americano,True
auténtico,authentic,ADJ,auténtico,True
barato,inexpensive,ADJ,barato,True
bello,"beautiful, fine",ADJ,bello,True
breve,"brief, short",ADJ,breve,True
brillante,"brilliant, shiny, sparkling",ADJ,brillante,True
central,central (adj),ADJ,central,True
chino,Chinese,ADJ,chino,True
ciego,blind,ADJ,ciego,True
clásico,classic,ADJ,clásico,True
comercial,"commercial, shopping",ADJ,comercial,True
complejo,"complex, complicated (adj)",ADJ,complejo,True
complicado,"complicated, complex",ADJ,complicado,True
consciente,"conscious, aware",ADJ,consciente,True
constante,constant,ADJ,constante,True
convencido,"convinced, persuaded",ADJ,convencido,True
correcto,"correct, suitable",ADJ,correcto,True
correspondiente,corresponding,ADJ,correspondiente,True
cotidiano,daily (adj)&nbsp;[also diario],ADJ,cotidiano,True
cristiano,Christian,ADJ,cristiano,True
cultural,cultural,ADJ,cultural,True
curioso,"curious, strange",ADJ,curioso,True
débil,weak,ADJ,débil,True
delicado,delicate,ADJ,delicado,True
desconocido,unknown,ADJ,desconocido,True
doble,double (adj),ADJ,doble,True
eléctrico,electric,ADJ,eléctrico,True
encargado,in charge of,ADJ,encargado,True
escaso,"scarce, very little",ADJ,escaso,True
europeo,European,ADJ,europeo,True
evidente,"evident, obvious",ADJ,evidente,True
excelente,excellent,ADJ,excelente,True
exterior,"exterior, outside (adj)",ADJ,exterior,True
extranjero,"foreign, alien (adj)",ADJ,extranjero,True
extremo,"edge, border, end (nm)",NOUN,extremo,True
falso,false,ADJ,falso,True
femenino,"feminine, female",ADJ,femenino,True
fijo,"fixed, steady",ADJ,fijo,True
fino,"fine, delicate",ADJ,fino,True
fuerte,strong,ADJ,fuerte,True
fundamental,fundamental,ADJ,fundamental,True
griego,Greek,ADJ,griego,True
habitual,"usual, habitual, customary",ADJ,habitual,True
hermoso,"beautiful, lovely",ADJ,hermoso,True
independiente,"independent, self-sufficient",ADJ,independiente,True
individual,individual,ADJ,individual,True
infantil,"of children, childlike, infantile",ADJ,infantil,True
inferior,"lower, inferior",ADJ,inferior,True
inmenso,"immense, vast, huge",ADJ,inmenso,True
intelectual,intellectual,ADJ,intelectual,True
inteligente,intelligent,ADJ,inteligente,True
intenso,"intense, acute",ADJ,intenso,True
internacional,international,ADJ,internacional,True
lejano,distant,ADJ,lejano,True
lento,slow,ADJ,lento,True
limpio,clean,ADJ,limpio,True
listo,"ready, clever, smart",ADJ,listo,True
literario,literary,ADJ,literario,True
loco,"crazy, insane",ADJ,loco,True
lógico,logical,ADJ,lógico,True
máximo,maximum (adj),ADJ,máximo,True
moral,moral (adj),ADJ,moral,True
muchísimo,"great many, great amount",ADJ,ChatGPT doesn't think this is a valid POS tag,False
nervioso,"nervous, uptight",ADJ,nervioso,True
norteamericano,North American,ADJ,norteamericano,True
notable,"outstanding, noteworthy",ADJ,notable,True
numeroso,numerous,ADJ,numeroso,True
objetivo,objective (nm),NOUN,objetivo,True
obligado,"obliged, required",ADJ,obligado,True
oficial,"official, authorized (adj)",ADJ,oficial,True
original,original (adj),ADJ,original,True
peligroso,dangerous,ADJ,peligroso,True
pendiente,"aware of, pending",ADJ,pendiente,True
permanente,permanent,ADJ,permanente,True
pesado,"heavy, boring, tiresome",ADJ,pesado,True
positivo,positive,ADJ,positivo,True
posterior,"rear, backside",ADJ,posterior,True
práctico,"practical, skillful",ADJ,práctico,True
preparado,prepared,ADJ,preparado,True
previo,previous,ADJ,previo,True
quinto,fifth,ADJ,quinto,True
reciente,recent,ADJ,reciente,True
relacionado,"related, regarding",ADJ,relacionado,True
sano,"healthy, wholesome [also saludable]",ADJ,sano,True
seco,"dry, arid",ADJ,seco,True
seguido,"in a row, successive",ADJ,seguido,True
seguro,"safe, sure, secure (adj)",ADJ,seguro,True
semejante,"similar, such, alike",ADJ,semejante,True
sentado,seated,ADJ,sentado,True
separado,separate,ADJ,separado,True
similar,similar&nbsp;[also parecideo],ADJ,similar,True
técnico,technical (adj),ADJ,técnico,True
temprano,early,ADJ,temprano,True
terrible,terrible,ADJ,terrible,True
tradicional,traditional,ADJ,tradicional,True
tranquilo,"calm, tranquil, relaxed",ADJ,tranquilo,True
tremendo,"tremendous, dreadful, huge",ADJ,tremendo,True
triste,"sad, unhappy",ADJ,triste,True
universal,universal,ADJ,universal,True
útil,useful,ADJ,útil,True
vecino,neighbor (nm),NOUN,vecino,True
violento,violent,ADJ,violento,True
vital,"vital, lively, essential",ADJ,vital,True
absolutamente,"absolutely, completely",ADV,absolutamente,True
acaso,"by chance, maybe",ADV,acaso,True
acerca,"about, concerning",ADV,acerca,True
aparte,"apart, aside, separately",ADV,aparte,True
ayer,yesterday,ADV,ayer,True
claramente,clearly,ADV,claramente,True
cuándo,when?,ADV,No examples found,False
definitivamente,"definitely, finally",ADV,definitivamente,True
generalmente,"generally, usually",ADV,generalmente,True
igualmente,equally,ADV,igualmente,True
justamente,"just, exactly",ADV,justamente,True
nuevamente,"anew, again",ADV,nuevamente,True
prácticamente,practically,ADV,prácticamente,True
profundamente,"profoundly, deeply",ADV,profundamente,True
rápidamente,"rapidly, quickly",ADV,rápidamente,True
únicamente,only [also solamente],ADV,únicamente,True
verdaderamente,truly,ADV,verdaderamente,True
ah [also oh],oh,INTJ,Too many tokens,False
estudiante,student,NOUN,estudiante,True
juez,judge,NOUN,juez,True
periodista,journalist,NOUN,periodista,True
poeta,poet,NOUN,poeta,True
policía,"police, police force, police officer",NOUN,policía,True
representante,representative (nc),NOUN,representante,True
alegría,"joy, happiness",NOUN,alegría,True
amistad,friendship,NOUN,amistad,True
ausencia,absence,NOUN,ausencia,True
aventura,adventure,NOUN,aventura,True
batalla,battle,NOUN,batalla,True
belleza,beauty,NOUN,belleza,True
busca,"search, hunt",NOUN,ChatGPT doesn't think this is a valid POS tag,False
cadena,chain,NOUN,cadena,True
caja,"bank, box, safe",NOUN,caja,True
cama,bed (furniture),NOUN,cama,True
cámara,"camera, chamber",NOUN,cámara,True
campaña,campaign,NOUN,campaña,True
canción,song,NOUN,canción,True
capa,"layer, coat",NOUN,capa,True
característica,"characteristic, aspect",NOUN,característica,True
carga,"load, charge, cargo",NOUN,carga,True
categoría,category,NOUN,categoría,True
columna,"column, spine",NOUN,columna,True
compra,"shopping, buy, purchase",NOUN,compra,True
comunidad,community,NOUN,comunidad,True
conclusión,"conclusion, end",NOUN,conclusión,True
conducta,"conduct, behavior",NOUN,conducta,True
consideración,"consideration, regard",NOUN,consideración,True
costa,coast,NOUN,costa,True
creación,creation,NOUN,creación,True
crisis,crisis,NOUN,crisis,True
